date,league,game_id,matchup,pick_name,pick_player_id,pick_fair,pick_share,book_odds,actual_name,actual_player_id,actual_team,hit,actual_board_rank
2026-08-12,wnba,1022600248,TOR@DAL,Conde,1629576,+659,20,,M. Mabrey,1629497,TOR,0,5
2026-08-12,wnba,1022600249,CHI@GSV,Zandalasini,1628508,+262,60,,N. Cloud,204333,CHI,0,
2026-08-12,wnba,1022600250,MIN@PDX,Howard,203827,+1135,10,,J. Harrison,1643527,PDX,0,
2026-08-13,wnba,1022600251,ATL@CON,Gray,1628277,+967,40,,B. Griner,203398,CON,0,4
2026-08-13,wnba,1022600252,LAS@NYL,Ionescu,1629477,+677,30,,J. Jones,1627673,NYL,0,3
2026-08-13,wnba,1022600253,WAS@LVA,Austin,1631022,+822,10,,J. Young,1629498,LVA,0,8
2026-08-14,wnba,1022600254,DAL@IND,Clark,1642286,+1040,30,,A. Boston,1641648,IND,0,4
2026-08-14,wnba,1022600255,PDX@SEA,Malonga,1642798,+654,20,,M. DiLeo,1629484,PDX,0,10
2026-08-15,wnba,1022600256,NYL@CON,Ionescu,1629477,+726,40,,J. Jones,1627673,NYL,0,8
2026-08-15,wnba,1022600257,LAS@WAS,Austin,1631022,+835,10,,N. Ogwumike,203014,LAS,0,7
2026-08-15,wnba,1022600258,MIN@LVA,Gray,203833,+842,20,,A. Wilson,1628932,LVA,0,3
2026-08-16,wnba,1022600259,CHI@SEA,Malonga,1642798,+630,30,,J. Horston,1641651,SEA,0,
2026-08-16,wnba,1022600261,IND@ATL,Gray,1628277,+1198,30,,M. Timpson,1642815,IND,0,3
2026-08-16,wnba,1022600260,PDX@PHX,Bonner,201886,+1645,10,,M. DiLeo,1629484,PDX,0,8
2026-08-17,wnba,1022600262,DAL@GSV,Zandalasini,1628508,+259,60,,A. Smith,1629501,DAL,0,
2026-08-18,wnba,1022600263,LAS@CON,Ogwumike,203014,+1260,0,,L. Lacan,1642303,CON,0,
2026-08-18,wnba,1022600264,IND@TOR,Boston,1641648,+1215,10,,L. Hull,1631086,IND,0,
2026-08-18,wnba,1022600265,NYL@CHI,Ionescu,1629477,+669,40,,P. Astier,1631136,NYL,0,
2026-08-18,wnba,1022600266,ATL@LVA,Wilson,1628932,+805,20,,A. Gray,1628277,ATL,0,1
2026-08-19,wnba,1022600267,TOR@WAS,Austin,1631022,+689,20,,L. Juskaite,1643420,TOR,0,6
2026-08-19,wnba,1022600268,MIN@GSV,Zandalasini,1628508,+218,60,,C. Williams,1627675,MIN,0,5
2026-08-20,wnba,1022600269,IND@DAL,Boston,1641648,+1144,10,,A. Kuier,1630386,DAL,0,
2026-08-20,wnba,1022600270,CON@LVA,Wilson,1628932,+1193,10,,K. Burke,1629568,CON,0,
2026-08-20,wnba,1022600271,ATL@LAS,Gray,1628277,+698,40,,D. Hamby,204324,LAS,0,2
2026-08-21,wnba,1022600272,MIN@WAS,Austin,1631022,+607,20,,M. Onyenwere,1630446,WAS,0,3
2026-08-21,wnba,1022600273,GSV@CHI,Zandalasini,1628508,+340,60,,K. Cardoso,1642289,CHI,0,2
2026-08-21,wnba,1022600274,PDX@TOR,Conde,1629576,+1108,20,,M. DiLeo,1629484,PDX,0,7
2026-08-23,wnba,1022600278,SEA@DAL,Malonga,1642798,+574,30,,P. Bueckers,1642784,DAL,0,2
2026-08-23,wnba,1022600279,IND@CHI,Cardoso,1642289,+659,50,,M. Timpson,1642815,IND,0,3
2026-08-23,wnba,1022600280,WAS@PDX,Austin,1631022,+685,20,,E. Engstler,1631083,PDX,0,
2026-08-23,wnba,1022600281,LVA@TOR,Conde,1629576,+1115,20,,T. Fagbenle,1627701,TOR,0,
2026-08-24,wnba,1022600282,GSV@MIN,Zandalasini,1628508,+270,50,,N. Howard,203827,MIN,0,3
2026-08-24,wnba,1022600283,ATL@LAS,Gray,1628277,+681,40,,J. Canada,1628886,ATL,0,4
2026-08-27,wnba,1022600289,GSV@NYL,Zandalasini,1628508,+654,30,,G. Williams,1628931,GSV,0,7
2026-08-27,wnba,1022600290,WAS@PHX,Austin,1631022,+671,20,,K. Copper,1627674,PHX,0,1
