tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
,Thompson,A. Sengun,HOU,0,C. Holmgren,OKC,0022500001
,Vincent,L. Dončić,LAL,1,L. Dončić,LAL,0022500002
,Mitchell,E. Mobley,CLE,1,E. Mobley,CLE,0022500003
,Champagnie,C. Flagg,DAL,0,A. Davis,DAL,0022500004
,Hartenstein,A. Wiggins,OKC,0,C. Holmgren,OKC,0022500005
,Podziemski,S. Curry,GSW,1,S. Curry,GSW,0022500006
,Mitchell,J. Allen,CLE,1,J. Allen,CLE,0022500007
,Conley,D. DiVincenzo,MIN,0,A. Gordon,DEN,0022500008
,Brunson,J. Hart,NYK,0,D. Mitchell,CLE,0022500009
,Gilgeous-Alexander,J. Williams,OKC,1,J. Williams,OKC,0022500010
,Curry,D. Green,GSW,0,Q. Post,GSW,0022500011
,Smith Jr.,K. Durant,HOU,0,T. Eason,HOU,0022500012
,DiVincenzo,J. Randle,MIN,0,N. Jokić,DEN,0022500013
,Johnson,N. Alexander-Walker,ATL,0,G. Antetokounmpo,MIL,0022500014
,Wade,D. Mitchell,CLE,1,D. Mitchell,CLE,0022500015
,Powell,C. Flagg,DAL,1,C. Flagg,DAL,0022500016
,Pritchard,J. Brown,BOS,0,S. Hauser,BOS,0022500017
,Pritchard,S. Hauser,BOS,1,S. Hauser,BOS,0022500018
,Edwards,A. Edwards,MIN,0,D. DiVincenzo,MIN,0022500019
,Johnson,J. Johnson,ATL,1,J. Johnson,ATL,0022500020
,Pritchard,J. Brown,BOS,0,P. Pritchard,BOS,0022500021
,Ball,I. Quickley,TOR,0,S. Barnes,TOR,0022500022
,Towns,K. Towns,NYK,0,K. Towns,NYK,0022500023
,Hachimura,L. Dončić,LAL,0,J. Landale,MEM,0022500024
,George,L. Markkanen,UTA,0,D. Booker,PHX,0022500025
,Avdija,T. Camara,POR,0,J. Murray,DEN,0022500026
,Williamson,H. Jones,NOP,1,H. Jones,NOP,0022500027
,Bane,W. Carter Jr.,ORL,0,W. Carter Jr.,ORL,0022500028
,Garland,D. Garland,CLE,1,D. Garland,CLE,0022500029
,Quickley,B. Ingram,TOR,1,B. Ingram,TOR,0022500030
,Thompson,C. Cunningham,DET,1,C. Cunningham,DET,0022500031
,Champagnie,J. Champagnie,SAS,0,A. Sengun,HOU,0022500032
,Mitchell,N. Powell,MIA,1,N. Powell,MIA,0022500033
,Flagg,P. Washington,DAL,0,P. Washington,DAL,0022500034
,Giddey,I. Okoro,CHI,0,M. Buzelis,CHI,0022500035
,George,J. McDaniels,MIN,1,J. McDaniels,MIN,0022500036
,Butler III,D. Green,GSW,1,D. Green,GSW,0022500037
,Mitchell,C. Wallace,OKC,1,C. Wallace,OKC,0022500038
,McBride,M. McBride,NYK,0,K. Ware,MIA,0022500039
,Clowney,E. Dëmin,BKN,0,M. Porter Jr.,BKN,0022500040
,Jenkins,P. Reed,DET,1,P. Reed,DET,0022500041
,Smith Jr.,A. Sengun,HOU,1,A. Sengun,HOU,0022500042
,Knueppel,K. Knueppel,CHA,0,R. Rollins,MIL,0022500043
,McDaniels,R. Gobert,MIN,1,R. Gobert,MIN,0022500044
,Hachimura,L. Dončić,LAL,0,A. Reaves,LAL,0022500045
,Harden,I. Zubac,LAC,0,D. Jones Jr.,LAC,0022500046
,Barnes,D. Fox,SAS,1,D. Fox,SAS,0022500047
,Mitchell,D. Hunter,CLE,1,D. Hunter,CLE,0022500048
,Demin,J. Brown,BOS,1,J. Brown,BOS,0022500049
,Barnes,B. Coulibaly,WAS,0,B. Coulibaly,WAS,0022500050
,Mitchell,P. Larsson,MIA,0,J. Giddey,CHI,0022500051
,Fears,H. Jones,NOP,1,H. Jones,NOP,0022500052
,Booker,D. Booker,PHX,1,D. Booker,PHX,0022500053
,Gordon,J. Murray,DEN,1,J. Murray,DEN,0022500054
,,K. George,UTA,1,K. George,UTA,0022500055
,Avdija,S. Cissoko,POR,1,S. Cissoko,POR,0022500056
,Alexander-Walker,K. Porziņģis,ATL,0,C. Kispert,WAS,0022500057
,Maxey,D. Bane,ORL,1,D. Bane,ORL,0022500058
,Doncic,R. Hachimura,LAL,1,R. Hachimura,LAL,0022500059
,Robinson,T. Harris,DET,0,D. Robinson,DET,0022500060
,Miller,B. Miller,CHA,1,B. Miller,CHA,0022500061
,Rollins,R. Rollins,MIL,0,T. Herro,MIA,0022500062
,Barnes,S. Barnes,TOR,1,S. Barnes,TOR,0022500063
,Hartenstein,C. Wallace,OKC,0,J. McDaniels,MIN,0022500064
,Williams Jr.,C. Coward,MEM,0,S. Bey,NOP,0022500065
,Smith Jr.,R. Sheppard,HOU,0,J. Butler III,GSW,0022500066
,Champagnie,D. Vassell,SAS,1,D. Vassell,SAS,0022500067
,Booker,R. O'Neale,PHX,0,D. Brooks,PHX,0022500068
,Garland,D. Mitchell,CLE,0,D. Hunter,CLE,0022500069
,,N. Clowney,BKN,0,D. Barlow,PHI,0022500070
,Ball,K. Knueppel,CHA,1,K. Knueppel,CHA,0022500071
,da Silva,D. Bane,ORL,0,A. Thompson,DET,0022500072
,Siakam,B. Mathurin,IND,1,B. Mathurin,IND,0022500073
,Hart,G. Antetokounmpo,MIL,1,G. Antetokounmpo,MIL,0022500074
,Wallace,L. Dort,OKC,1,L. Dort,OKC,0022500075
,Champagnie,D. Vassell,SAS,1,D. Vassell,SAS,0022500076
,Westbrook,K. Murray,SAC,0,S. Mykhailiuk,UTA,0022500077
LAL,L. James,A. Reaves,LAL,1,A. Reaves,LAL,0022500078
,Williams Jr.,J. Jackson Jr.,MEM,0,K. Dunn,LAC,0022500079
,Saraf,N. Claxton,BKN,0,K. Knueppel,CHA,0022500080
,Suggs,W. Carter Jr.,ORL,1,W. Carter Jr.,ORL,0022500081
,Johnson,K. Porziņģis,ATL,0,B. Ingram,TOR,0022500082
,Brown,N. Queta,BOS,1,N. Queta,BOS,0022500083
,Jones,N. Vučević,CHI,1,N. Vučević,CHI,0022500084
,Morant,J. Poole,NOP,1,J. Poole,NOP,0022500085
,McCollum,K. Middleton,WAS,0,A. Green,MIL,0022500086
,George,L. Markkanen,UTA,0,L. Markkanen,UTA,0022500087
,Allen,O. Ighodaro,PHX,1,O. Ighodaro,PHX,0022500088
,Avdija,J. Holiday,POR,0,S. Sharpe,POR,0022500089
,Suggs,J. Johnson,ATL,0,F. Wagner,ORL,0022500090
,Saraf,M. Porter Jr.,BKN,0,E. Mobley,CLE,0022500091
,Poeltl,B. Ingram,TOR,0,B. Ingram,TOR,0022500092
,Robinson,K. Durant,HOU,1,K. Durant,HOU,0022500093
,Wells,J. Morant,MEM,1,J. Morant,MEM,0022500094
,Williamson,Z. Williamson,NOP,1,Z. Williamson,NOP,0022500095
,Flagg,K. George,WAS,0,P. Washington,DAL,0022500096
,Avdija,D. Avdija,POR,1,D. Avdija,POR,0022500097
,George,D. Schröder,SAC,0,S. Mykhailiuk,UTA,0022500098
,Booker,G. Allen,PHX,0,D. Jones Jr.,LAC,0022500099
,Jones,W. Carter Jr.,ORL,0,J. Giddey,CHI,0022500100
,Daniels,N. Alexander-Walker,ATL,0,C. Holmgren,OKC,0022500101
,Sexton,B. Miller,CHA,1,B. Miller,CHA,0022500102
,Wiseman,B. Sheppard,IND,1,B. Sheppard,IND,0022500103
,Murray,C. Johnson,DEN,1,C. Johnson,DEN,0022500104
,Thomas,H. Barnes,SAS,0,C. Thomas,BKN,0022500105
,Brown,J. Brown,BOS,1,J. Brown,BOS,0022500106
,Trent Jr.,G. Trent Jr.,MIL,0,G. Trent Jr.,MIL,0022500107
,Mitchell,B. Adebayo,MIA,0,J. Brunson,NYK,0022500108
