tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
HOU,Thompson,A. Sengun,HOU,0,C. Holmgren,OKC,0022500001
LAL,Vincent,L. Dončić,LAL,1,L. Dončić,LAL,0022500002
CLE,Mitchell,E. Mobley,CLE,1,E. Mobley,CLE,0022500003
SAS,Champagnie,C. Flagg,DAL,0,A. Davis,DAL,0022500004
OKC,Hartenstein,A. Wiggins,OKC,0,C. Holmgren,OKC,0022500005
GSW,Podziemski,S. Curry,GSW,1,S. Curry,GSW,0022500006
CLE,Mitchell,J. Allen,CLE,1,J. Allen,CLE,0022500007
MIN,Conley,D. DiVincenzo,MIN,0,A. Gordon,DEN,0022500008
NYK,Brunson,J. Hart,NYK,0,D. Mitchell,CLE,0022500009
OKC,Gilgeous-Alexander,J. Williams,OKC,1,J. Williams,OKC,0022500010
GSW,Curry,D. Green,GSW,0,Q. Post,GSW,0022500011
HOU,Smith Jr.,K. Durant,HOU,0,T. Eason,HOU,0022500012
MIN,DiVincenzo,J. Randle,MIN,0,N. Jokić,DEN,0022500013
ATL,Johnson,N. Alexander-Walker,ATL,0,G. Antetokounmpo,MIL,0022500014
CLE,Wade,D. Mitchell,CLE,1,D. Mitchell,CLE,0022500015
DAL,Powell,C. Flagg,DAL,1,C. Flagg,DAL,0022500016
BOS,Pritchard,J. Brown,BOS,0,S. Hauser,BOS,0022500017
BOS,Pritchard,S. Hauser,BOS,1,S. Hauser,BOS,0022500018
MIN,Edwards,A. Edwards,MIN,0,D. DiVincenzo,MIN,0022500019
ATL,Johnson,J. Johnson,ATL,1,J. Johnson,ATL,0022500020
BOS,Pritchard,J. Brown,BOS,0,P. Pritchard,BOS,0022500021
CLE,Ball,I. Quickley,TOR,0,S. Barnes,TOR,0022500022
NYK,Towns,K. Towns,NYK,0,K. Towns,NYK,0022500023
LAL,Hachimura,L. Dončić,LAL,0,J. Landale,MEM,0022500024
UTA,George,L. Markkanen,UTA,0,D. Booker,PHX,0022500025
POR,Avdija,T. Camara,POR,0,J. Murray,DEN,0022500026
NOP,Williamson,H. Jones,NOP,1,H. Jones,NOP,0022500027
ORL,Bane,W. Carter Jr.,ORL,0,W. Carter Jr.,ORL,0022500028
CLE,Garland,D. Garland,CLE,1,D. Garland,CLE,0022500029
TOR,Quickley,B. Ingram,TOR,1,B. Ingram,TOR,0022500030
DET,Thompson,C. Cunningham,DET,1,C. Cunningham,DET,0022500031
SAS,Champagnie,J. Champagnie,SAS,0,A. Sengun,HOU,0022500032
MIA,Mitchell,N. Powell,MIA,1,N. Powell,MIA,0022500033
DAL,Flagg,P. Washington,DAL,0,P. Washington,DAL,0022500034
CHI,Giddey,I. Okoro,CHI,0,M. Buzelis,CHI,0022500035
UTA,George,J. McDaniels,MIN,1,J. McDaniels,MIN,0022500036
GSW,Butler III,D. Green,GSW,1,D. Green,GSW,0022500037
OKC,Mitchell,C. Wallace,OKC,1,C. Wallace,OKC,0022500038
NYK,McBride,M. McBride,NYK,0,K. Ware,MIA,0022500039
BKN,Clowney,E. Dëmin,BKN,0,M. Porter Jr.,BKN,0022500040
DET,Jenkins,P. Reed,DET,1,P. Reed,DET,0022500041
HOU,Smith Jr.,A. Sengun,HOU,1,A. Sengun,HOU,0022500042
CHA,Knueppel,K. Knueppel,CHA,0,R. Rollins,MIL,0022500043
MIN,McDaniels,R. Gobert,MIN,1,R. Gobert,MIN,0022500044
LAL,Hachimura,L. Dončić,LAL,0,A. Reaves,LAL,0022500045
LAC,Harden,I. Zubac,LAC,0,D. Jones Jr.,LAC,0022500046
SAS,Barnes,D. Fox,SAS,1,D. Fox,SAS,0022500047
CLE,Mitchell,D. Hunter,CLE,1,D. Hunter,CLE,0022500048
,Demin,J. Brown,BOS,1,J. Brown,BOS,0022500049
TOR,Barnes,B. Coulibaly,WAS,0,B. Coulibaly,WAS,0022500050
MIA,Mitchell,P. Larsson,MIA,0,J. Giddey,CHI,0022500051
NOP,Fears,H. Jones,NOP,1,H. Jones,NOP,0022500052
PHX,Booker,D. Booker,PHX,1,D. Booker,PHX,0022500053
DEN,Gordon,J. Murray,DEN,1,J. Murray,DEN,0022500054
,,K. George,UTA,1,K. George,UTA,0022500055
POR,Avdija,S. Cissoko,POR,1,S. Cissoko,POR,0022500056
ATL,Alexander-Walker,K. Porziņģis,ATL,0,C. Kispert,WAS,0022500057
PHI,Maxey,D. Bane,ORL,1,D. Bane,ORL,0022500058
,Doncic,R. Hachimura,LAL,1,R. Hachimura,LAL,0022500059
DET,Robinson,T. Harris,DET,0,D. Robinson,DET,0022500060
CHA,Miller,B. Miller,CHA,1,B. Miller,CHA,0022500061
MIL,Rollins,R. Rollins,MIL,0,T. Herro,MIA,0022500062
TOR,Barnes,S. Barnes,TOR,1,S. Barnes,TOR,0022500063
OKC,Hartenstein,C. Wallace,OKC,0,J. McDaniels,MIN,0022500064
MEM,Williams Jr.,C. Coward,MEM,0,S. Bey,NOP,0022500065
HOU,Smith Jr.,R. Sheppard,HOU,0,J. Butler III,GSW,0022500066
SAS,Champagnie,D. Vassell,SAS,1,D. Vassell,SAS,0022500067
PHX,Booker,R. O'Neale,PHX,0,D. Brooks,PHX,0022500068
CLE,Garland,D. Mitchell,CLE,0,D. Hunter,CLE,0022500069
,,N. Clowney,BKN,0,D. Barlow,PHI,0022500070
CHA,Ball,K. Knueppel,CHA,1,K. Knueppel,CHA,0022500071
ORL,da Silva,D. Bane,ORL,0,A. Thompson,DET,0022500072
IND,Siakam,B. Mathurin,IND,1,B. Mathurin,IND,0022500073
NYK,Hart,G. Antetokounmpo,MIL,1,G. Antetokounmpo,MIL,0022500074
OKC,Wallace,L. Dort,OKC,1,L. Dort,OKC,0022500075
SAS,Champagnie,D. Vassell,SAS,1,D. Vassell,SAS,0022500076
SAC,Westbrook,K. Murray,SAC,0,S. Mykhailiuk,UTA,0022500077
,L. James,A. Reaves,LAL,1,A. Reaves,LAL,0022500078
MEM,Williams Jr.,J. Jackson Jr.,MEM,0,K. Dunn,LAC,0022500079
BKN,Saraf,N. Claxton,BKN,0,K. Knueppel,CHA,0022500080
ORL,Suggs,W. Carter Jr.,ORL,1,W. Carter Jr.,ORL,0022500081
ATL,Johnson,K. Porziņģis,ATL,0,B. Ingram,TOR,0022500082
BOS,Brown,N. Queta,BOS,1,N. Queta,BOS,0022500083
CHI,Jones,N. Vučević,CHI,1,N. Vučević,CHI,0022500084
MEM,Morant,J. Poole,NOP,1,J. Poole,NOP,0022500085
WAS,McCollum,K. Middleton,WAS,0,A. Green,MIL,0022500086
UTA,George,L. Markkanen,UTA,0,L. Markkanen,UTA,0022500087
PHX,Allen,O. Ighodaro,PHX,1,O. Ighodaro,PHX,0022500088
POR,Avdija,J. Holiday,POR,0,S. Sharpe,POR,0022500089
