tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
CON,Morrow,A. Morrow,CON,0,B. Stewart,NYL,1022600001
WAS,Prosper,C. Prosper,WAS,1,C. Prosper,WAS,1022600002
SEA,Hiedeman,F. Johnson,SEA,1,F. Johnson,SEA,1022600003
IND,Mitchell,K. Mitchell,IND,1,K. Mitchell,IND,1022600004
PHX,Thomas,A. Thomas,PHX,0,A. Thomas,PHX,1022600005
CHI,Jaquez,C. Leite,PDX,0,C. Leite,PDX,1022600006
CON,Leger-Walker,J. Horston,SEA,1,J. Horston,SEA,1022600007
WAS,Iriafen,C. Prosper,WAS,0,S. Austin,WAS,1022600008
LVA,Young,S. Talbot,LVA,1,S. Talbot,LVA,1022600009
ATL,Gray,N. Coffey,MIN,1,N. Coffey,MIN,1022600010
PHX,Thomas,A. Thomas,PHX,0,J. Nogic,PHX,1022600011
ATL,Canada,J. Canada,ATL,0,A. Reese,ATL,1022600012
PHX,Thomas,K. Copper,PHX,0,D. Bonner,PHX,1022600013
PDX,Carleton,B. Carleton,PDX,1,B. Carleton,PDX,1022600014
TOR,Sykes,N. Sabally,TOR,0,D. Malonga,SEA,1022600015
CON,Miller,S. Talbot,LVA,1,S. Talbot,LVA,1022600016
CHI,Diggins,K. Cardoso,CHI,0,G. Williams,GSV,1022600017
IND,Mitchell,R. Burrell,LAS,1,R. Burrell,LAS,1022600018
DAL,Sims,P. Bueckers,DAL,1,P. Bueckers,DAL,1022600019
NYL,Stewart,N. Puoch,PDX,1,N. Puoch,PDX,1022600020
LVA,Gray,A. Wilson,LVA,1,A. Wilson,LVA,1022600021
WAS,Iriafen,K. Mitchell,IND,1,K. Mitchell,IND,1022600022
LAS,Wheeler,N. Ogwumike,LAS,1,N. Ogwumike,LAS,1022600023
CHI,Jaquez,K. Cardoso,CHI,0,J. Sheldon,CHI,1022600024
MIN,Miles,K. McBride,MIN,0,R. Jackson,CHI,1022600025
,Gray,A. Wilson,LVA,0,C. Gray,LVA,1022600026
SEA,Melbourne,J. Horston,SEA,0,M. Hines-Allen,IND,1022600027
LAS,Wheeler,R. Burrell,LAS,0,K. Plum,LAS,1022600028
WAS,Iriafen,G. Amoore,WAS,0,A. Ogunbowale,DAL,1022600029
PDX,Engstler,N. Puoch,PDX,1,N. Puoch,PDX,1022600030
TOR,Conde,L. Juskaite,TOR,1,L. Juskaite,TOR,1022600031
IND,Billings,A. Boston,IND,1,A. Boston,IND,1022600032
CHI,Diggins,G. Jaquez,CHI,0,A. Smith,DAL,1022600033
CON,Van Lith,G. Kneepkens,CON,0,A. Morrow,CON,1022600034
NYL,Sabally,P. Astier,NYL,1,P. Astier,NYL,1022600035
,,L. Juskaite,TOR,0,N. Howard,MIN,1022600036
PHX,Nogic,K. Copper,PHX,1,K. Copper,PHX,1022600037
ATL,Canada,R. Howard,ATL,1,R. Howard,ATL,1022600038
IND,Clark,K. Mitchell,IND,1,K. Mitchell,IND,1022600039
CON,Burke,J. Melbourne,SEA,0,A. Edwards,CON,1022600040
CHI,Diggins,N. Coffey,MIN,0,J. Sheldon,CHI,1022600041
PDX,Puoch,B. Sykes,TOR,0,M. Mabrey,TOR,1022600042
LAS,Hamby,A. Atkins,LAS,0,A. Wilson,LVA,1022600043
ATL,Canada,A. Reese,ATL,0,A. Thomas,PHX,1022600044
NYL,Ionescu,S. Sabally,NYL,1,S. Sabally,NYL,1022600045
WAS,Onyenwere,G. Amoore,WAS,1,G. Amoore,WAS,1022600046
NYL,Stewart,B. Stewart,NYL,0,B. Stewart,NYL,1022600047
GSV,Williams,G. Williams,GSV,1,G. Williams,GSV,1022600048
NYL,Astier,L. Fiebich,NYL,1,L. Fiebich,NYL,1022600049
CHI,Cloud,J. Sheldon,CHI,0,N. Cloud,CHI,1022600050
ATL,Canada,N. Hillmon,ATL,0,N. Coffey,MIN,1022600051
CON,Morrow,A. Morrow,CON,1,A. Morrow,CON,1022600052
WAS,Onyenwere,S. Citron,WAS,0,S. Austin,WAS,1022600053
LVA,Young,J. Young,LVA,0,M. Siegrist,DAL,1022600054
GSV,Burton,G. Williams,GSV,0,M. Billings,IND,1022600055
,,J. Jones,NYL,0,M. Johannes,NYL,1022600056
LAS,Ogwumike,S. Austin,WAS,1,S. Austin,WAS,1022600057
CHI,Sheldon,S. Diggins,CHI,0,S. Diggins,CHI,1022600058
,,N. Hillmon,ATL,1,N. Hillmon,ATL,1022600059
SEA,Melbourne,J. Melbourne,SEA,0,S. Dolson,SEA,1022600060
CON,Morrow,S. Rivers,CON,0,R. Burrell,LAS,1022600061
IND,Clark,A. Boston,IND,1,A. Boston,IND,1022600062
GSV,Zandalasini,K. Thornton,GSV,0,J. Young,LVA,1022600063
SEA,Horston,S. Dolson,SEA,0,A. Fudd,DAL,1022600064
PHX,Thomas,N. Mack,PHX,1,N. Mack,PHX,1022600065
CON,Miller,B. Griner,CON,1,B. Griner,CON,1022600066
WAS,Iriafen,S. Austin,WAS,0,K. Cardoso,CHI,1022600067
GSV,Williams,K. Thornton,GSV,1,K. Thornton,GSV,1022600068
LVA,Young,C. Gray,LVA,0,N. Ogwumike,LAS,1022600069
NYL,Fiebich,K. Rice,TOR,0,J. Jones,NYL,1022600070
PHX,Brochant,F. Johnson,SEA,0,F. Johnson,SEA,1022600071
IND,Hull,K. Mitchell,IND,0,J. Canada,ATL,1022600072
GSV,Thornton,K. Thornton,GSV,0,K. McBride,MIN,1022600073
CON,Lacan,L. Lacan,CON,0,A. Stevens,CHI,1022600074
LAS,Plum,P. Bueckers,DAL,1,P. Bueckers,DAL,1022600075
PDX,Engstler,B. Carleton,PDX,0,D. Bonner,PHX,1022600076
,,S. Dolson,SEA,1,S. Dolson,SEA,1022600077
LVA,Wilson,G. Williams,GSV,1,G. Williams,GSV,1022600078
WAS,Iriafen,R. Howard,ATL,1,R. Howard,ATL,1022600079
IND,Billings,K. Mitchell,IND,1,K. Mitchell,IND,1022600080
CHI,Diggins,K. Cardoso,CHI,0,N. Sabally,TOR,1022600081
LAS,Wheeler,N. Ogwumike,LAS,1,N. Ogwumike,LAS,1022600082
CON,Edwards,Han,NYL,0,D. Miller,CON,1022600083
WAS,Onyenwere,S. Austin,WAS,1,S. Austin,WAS,1022600084
SEA,Horston,N. Smith,LVA,1,N. Smith,LVA,1022600085
ATL,Canada,S. Diggins,CHI,1,S. Diggins,CHI,1022600086
MIN,Coffey,O. Miles,MIN,0,M. Siegrist,DAL,1022600087
GSV,Thornton,V. Burton,GSV,1,V. Burton,GSV,1022600088
TOR,Sykes,M. Mabrey,TOR,0,M. Mabrey,TOR,1022600089
SEA,Horston,D. Malonga,SEA,1,D. Malonga,SEA,1022600090
IND,Billings,K. Mitchell,IND,0,K. Cardoso,CHI,1022600091
NYL,Fiebich,M. Johannes,NYL,1,M. Johannes,NYL,1022600092
PHX,Thomas,A. Ogunbowale,DAL,0,P. Bueckers,DAL,1022600093
