gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022500197,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (9:11 PM EST),period,start,0,0,1
0022500197,4,PT12M00.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,,,0,h,Jump Ball Sabonis vs. Gobert: Tip to McDaniels,Jump Ball,,1,0,2
0022500197,7,PT11M46.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,-110,225,25,Missed,1,,,0,v,MISS Edwards 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,3
0022500197,8,PT11M42.00S,1,1610612758,SAC,1630173,Achiuwa,P. Achiuwa,0,0,0,,0,,,0,h,Achiuwa REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4
0022500197,9,PT11M23.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,-77,155,17,Missed,1,,,0,h,MISS Sabonis 17' Jump Shot,Missed Shot,Jump Shot,1,2,5
0022500197,9,PT11M23.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,v,Gobert BLOCK (1 BLK),,,1,2,6
0022500197,11,PT11M19.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,v,Gobert REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,7
0022500197,12,PT11M17.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,9,1,1,Made,1,0,2,2,v,Gobert 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,1,2,8
0022500197,13,PT10M59.00S,1,1610612758,SAC,203897,LaVine,Z. LaVine,102,242,26,Made,1,3,2,5,h,LaVine 26' 3PT Fadeaway Jumper (3 PTS),Made Shot,Fadeaway Jump Shot,1,3,9
0022500197,14,PT10M43.00S,1,1610612750,MIN,203944,Randle,J. Randle,213,108,24,Missed,1,,,0,v,MISS Randle 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,10
0022500197,15,PT10M40.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,0,0,0,,0,,,0,h,Sabonis REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11
0022500197,16,PT10M26.00S,1,1610612758,SAC,201942,DeRozan,D. DeRozan,-197,160,25,Made,1,6,2,8,h,DeRozan 25' 3PT Jump Shot (3 PTS) (Schroder 1 AST),Made Shot,Jump Shot,1,3,12
0022500197,18,PT10M26.00S,1,1610612750,MIN,203944,Randle,J. Randle,0,0,0,,0,,,0,v,Randle FLAGRANT.FOUL.TYPE1 (P1.T1) (S.Mitchell),Foul,Flagrant Type 1,1,0,13
0022500197,20,PT10M26.00S,1,0,,18,,,0,0,0,,0,6,2,8,,Instant Replay1st Period (9:13 PM EST),Instant Replay,Overturn Ruling,0,0,14
0022500197,21,PT10M26.00S,1,1610612758,SAC,201942,DeRozan,D. DeRozan,0,0,0,,0,7,2,9,h,DeRozan Free Throw Flagrant 1 of 1 (4 PTS),Free Throw,Free Throw Flagrant 1 of 1,1,0,15
0022500197,22,PT10M17.00S,1,1610612758,SAC,203897,LaVine,Z. LaVine,0,0,0,,0,,,0,h,LaVine Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,16
0022500197,22,PT10M17.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,v,Edwards STEAL (1 STL),,,1,0,17
0022500197,24,PT10M11.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,9,-13,2,Made,1,7,4,11,v,Gobert 2' Running Alley Oop Dunk Shot (4 PTS) (Edwards 1 AST),Made Shot,Running Alley Oop Dunk Shot,1,2,18
0022500197,26,PT09M57.00S,1,1610612758,SAC,1627734,Sabonis,D. Sabonis,31,26,4,Missed,1,,,0,h,MISS Sabonis 4' Hook Shot,Missed Shot,Hook Shot,1,2,19
0022500197,27,PT09M55.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,v,Gobert REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,20
0022500197,28,PT09M46.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,216,111,24,Missed,1,,,0,v,MISS Edwards 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,21
0022500197,29,PT09M42.00S,1,1610612758,SAC,1630173,Achiuwa,P. Achiuwa,0,0,0,,0,,,0,h,Achiuwa REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,22
0022500197,30,PT09M38.00S,1,1610612758,SAC,203897,LaVine,Z. LaVine,-13,21,2,Missed,1,,,0,h,MISS LaVine 2' Running Layup,Missed Shot,Running Layup Shot,1,2,23
